Palabras clave,Fecha y hora,Origen,Id. del evento,Categoría de la tarea
Auditoría correcta,02/06/2014 9:44:59,Microsoft-Windows-Security-Auditing,4624,Inicio de sesión,"Se inició sesión correctamente en una cuenta.

Sujeto:
	Id. de seguridad:		SYSTEM
	Nombre de cuenta:		MCLAREN2A$
	Dominio de cuenta:		MCLAREN1W
	Id. de inicio de sesión:		0x3e7

Tipo de inicio de sesión:			2

Nuevo inicio de sesión:
	Id. de seguridad:		MCLAREN2A\abel
	Nombre de cuenta:		abel
	Dominio de cuenta:		MCLAREN2A
	Id. de inicio de sesión:		0x69ffb
	GUID de inicio de sesión:		{00000000-0000-0000-0000-000000000000}

Información de proceso:
	Id. de proceso:		0x8b4
	Nombre de proceso:		C:\Windows\System32\winlogon.exe

Información de red:
	Nombre de estación de trabajo:	MCLAREN2A
	Dirección de red de origen:	127.0.0.1
	Puerto de origen:		0

Información de autenticación detallada:
	Proceso de inicio de sesión:		User32 
	Paquete de autenticación:	Negotiate
	Servicios transitados:	-
	Nombre de paquete (sólo NTLM):	-
	Longitud de clave:		0

Este evento se genera cuando se crea una sesión de inicio. Lo genera el equipo al que se tuvo acceso.

Los campos de sujeto indican la cuenta del sistema local que solicitó el inicio de sesión. Suele ser un servicio como el servicio de servidor o un proceso local como Winlogon.exe o Services.exe.

El campo Tipo de inicio de sesión indica la clase de inicio de sesión que se realizó. Los tipos más comunes son 2 (interactivo) y 3 (red).

Los campos Nuevo inicio de sesión indican la cuenta para la que se creó el nuevo inicio de sesión, es decir, aquella en la que se inició la sesión.

Los campos de red indican dónde se originó una solicitud de inicio de sesión remota. Nombre de estación de trabajo no está siempre disponible y se puede dejar en blanco en algunos casos.

Los campos de información de autenticación proporcionan información detallada sobre esta solicitud de inicio de sesión específica.
	- GUID de inicio de sesión es un identificador único que se puede usar para correlacionar este evento con un evento KDC.
	- Servicios transitados indica los servicios intermedios que participaron en esta solicitud de inicio de sesión.
	- Nombre de paquete indica el subprotocolo que se usó entre los protocolos NTLM.
	- Longitud de clave indica la longitud de la clave de sesión generada. Será 0 si no se solicitó una clave de sesión."
Auditoría correcta,02/06/2014 9:44:59,Microsoft-Windows-Security-Auditing,4624,Inicio de sesión,"Se inició sesión correctamente en una cuenta.

Sujeto:
	Id. de seguridad:		SYSTEM
	Nombre de cuenta:		MCLAREN2A$
	Dominio de cuenta:		MCLAREN1W
	Id. de inicio de sesión:		0x3e7

Tipo de inicio de sesión:			2

Nuevo inicio de sesión:
	Id. de seguridad:		MCLAREN2A\abel
	Nombre de cuenta:		abel
	Dominio de cuenta:		MCLAREN2A
	Id. de inicio de sesión:		0x69fda
	GUID de inicio de sesión:		{00000000-0000-0000-0000-000000000000}

Información de proceso:
	Id. de proceso:		0x8b4
	Nombre de proceso:		C:\Windows\System32\winlogon.exe

Información de red:
	Nombre de estación de trabajo:	MCLAREN2A
	Dirección de red de origen:	127.0.0.1
	Puerto de origen:		0

Información de autenticación detallada:
	Proceso de inicio de sesión:		User32 
	Paquete de autenticación:	Negotiate
	Servicios transitados:	-
	Nombre de paquete (sólo NTLM):	-
	Longitud de clave:		0

Este evento se genera cuando se crea una sesión de inicio. Lo genera el equipo al que se tuvo acceso.

Los campos de sujeto indican la cuenta del sistema local que solicitó el inicio de sesión. Suele ser un servicio como el servicio de servidor o un proceso local como Winlogon.exe o Services.exe.

El campo Tipo de inicio de sesión indica la clase de inicio de sesión que se realizó. Los tipos más comunes son 2 (interactivo) y 3 (red).

Los campos Nuevo inicio de sesión indican la cuenta para la que se creó el nuevo inicio de sesión, es decir, aquella en la que se inició la sesión.

Los campos de red indican dónde se originó una solicitud de inicio de sesión remota. Nombre de estación de trabajo no está siempre disponible y se puede dejar en blanco en algunos casos.

Los campos de información de autenticación proporcionan información detallada sobre esta solicitud de inicio de sesión específica.
	- GUID de inicio de sesión es un identificador único que se puede usar para correlacionar este evento con un evento KDC.
	- Servicios transitados indica los servicios intermedios que participaron en esta solicitud de inicio de sesión.
	- Nombre de paquete indica el subprotocolo que se usó entre los protocolos NTLM.
	- Longitud de clave indica la longitud de la clave de sesión generada. Será 0 si no se solicitó una clave de sesión."
Auditoría correcta,02/06/2014 9:44:59,Microsoft-Windows-Security-Auditing,4648,Inicio de sesión,"Se intentó iniciar sesión con credenciales explícitas.

Sujeto:
	Id. de seguridad:		SYSTEM
	Nombre de cuenta:		MCLAREN2A$
	Dominio de cuenta:		MCLAREN1W
	Id. de inicio de sesión:		0x3e7
	GUID de inicio de sesión:		{00000000-0000-0000-0000-000000000000}

Cuenta cuyas credenciales se usaron:
	Nombre de cuenta:		abel
	Dominio de cuenta:		MCLAREN2A
	GUID de inicio de sesión:		{00000000-0000-0000-0000-000000000000}

Servidor de destino:
	Nombre de servidor de destino:	localhost
	Información adicional:	localhost

Información de proceso:
	Id. de proceso:	0x8b4
	Nombre de proceso:		C:\Windows\System32\winlogon.exe

Información de red:
	Dirección de red:	127.0.0.1
	Puerto:			0

Este evento se genera cuando un proceso intenta iniciar sesión en una cuenta especificando explícitamente las credenciales de la cuenta. Suele producirse en configuraciones de tipo de lote como tareas programadas, o cuando se usa el comando RUNAS."
Auditoría correcta,02/06/2014 9:44:13,Microsoft-Windows-Security-Auditing,4647,Cerrar sesión,"Cierre de sesión iniciado por el usuario:

Sujeto:
	Id. de seguridad:		MCLAREN1W\alu1
	Nombre de cuenta:		alu1
	Dominio de cuenta:		MCLAREN1W
	Id. de inicio de sesión:		0x5371c

Este evento se genera cuando se inicia un cierre de sesión. No se puede producir ninguna actividad adicional iniciada por el usuario. Este evento se puede interpretar como un evento de cierre de sesión."
Auditoría correcta,02/06/2014 9:43:50,Microsoft-Windows-Security-Auditing,4624,Inicio de sesión,"Se inició sesión correctamente en una cuenta.

Sujeto:
	Id. de seguridad:		SYSTEM
	Nombre de cuenta:		MCLAREN2A$
	Dominio de cuenta:		MCLAREN1W
	Id. de inicio de sesión:		0x3e7

Tipo de inicio de sesión:			2

Nuevo inicio de sesión:
	Id. de seguridad:		MCLAREN1W\alu1
	Nombre de cuenta:		alu1
	Dominio de cuenta:		MCLAREN1W
	Id. de inicio de sesión:		0x5371c
	GUID de inicio de sesión:		{1E925B5D-95EF-AA8D-0BD4-45366502DF39}

Información de proceso:
	Id. de proceso:		0x98c
	Nombre de proceso:		C:\Windows\System32\winlogon.exe

Información de red:
	Nombre de estación de trabajo:	MCLAREN2A
	Dirección de red de origen:	127.0.0.1
	Puerto de origen:		0

Información de autenticación detallada:
	Proceso de inicio de sesión:		User32 
	Paquete de autenticación:	Negotiate
	Servicios transitados:	-
	Nombre de paquete (sólo NTLM):	-
	Longitud de clave:		0

Este evento se genera cuando se crea una sesión de inicio. Lo genera el equipo al que se tuvo acceso.

Los campos de sujeto indican la cuenta del sistema local que solicitó el inicio de sesión. Suele ser un servicio como el servicio de servidor o un proceso local como Winlogon.exe o Services.exe.

El campo Tipo de inicio de sesión indica la clase de inicio de sesión que se realizó. Los tipos más comunes son 2 (interactivo) y 3 (red).

Los campos Nuevo inicio de sesión indican la cuenta para la que se creó el nuevo inicio de sesión, es decir, aquella en la que se inició la sesión.

Los campos de red indican dónde se originó una solicitud de inicio de sesión remota. Nombre de estación de trabajo no está siempre disponible y se puede dejar en blanco en algunos casos.

Los campos de información de autenticación proporcionan información detallada sobre esta solicitud de inicio de sesión específica.
	- GUID de inicio de sesión es un identificador único que se puede usar para correlacionar este evento con un evento KDC.
	- Servicios transitados indica los servicios intermedios que participaron en esta solicitud de inicio de sesión.
	- Nombre de paquete indica el subprotocolo que se usó entre los protocolos NTLM.
	- Longitud de clave indica la longitud de la clave de sesión generada. Será 0 si no se solicitó una clave de sesión."
Auditoría correcta,02/06/2014 9:43:50,Microsoft-Windows-Security-Auditing,4648,Inicio de sesión,"Se intentó iniciar sesión con credenciales explícitas.

Sujeto:
	Id. de seguridad:		SYSTEM
	Nombre de cuenta:		MCLAREN2A$
	Dominio de cuenta:		MCLAREN1W
	Id. de inicio de sesión:		0x3e7
	GUID de inicio de sesión:		{00000000-0000-0000-0000-000000000000}

Cuenta cuyas credenciales se usaron:
	Nombre de cuenta:		alu1
	Dominio de cuenta:		MCLAREN1W
	GUID de inicio de sesión:		{1E925B5D-95EF-AA8D-0BD4-45366502DF39}

Servidor de destino:
	Nombre de servidor de destino:	localhost
	Información adicional:	localhost

Información de proceso:
	Id. de proceso:	0x98c
	Nombre de proceso:		C:\Windows\System32\winlogon.exe

Información de red:
	Dirección de red:	127.0.0.1
	Puerto:			0

Este evento se genera cuando un proceso intenta iniciar sesión en una cuenta especificando explícitamente las credenciales de la cuenta. Suele producirse en configuraciones de tipo de lote como tareas programadas, o cuando se usa el comando RUNAS."
Auditoría correcta,02/06/2014 9:39:44,Microsoft-Windows-Security-Auditing,4647,Cerrar sesión,"Cierre de sesión iniciado por el usuario:

Sujeto:
	Id. de seguridad:		MCLAREN1W\alu1
	Nombre de cuenta:		alu1
	Dominio de cuenta:		MCLAREN1W
	Id. de inicio de sesión:		0x1b1c6

Este evento se genera cuando se inicia un cierre de sesión. No se puede producir ninguna actividad adicional iniciada por el usuario. Este evento se puede interpretar como un evento de cierre de sesión."
Auditoría correcta,02/06/2014 9:38:21,Microsoft-Windows-Security-Auditing,4672,Inicio de sesión especial,"Se asignaron privilegios especiales a un nuevo inicio de sesión.

Sujeto:
	Id. de seguridad:		SYSTEM
	Nombre de cuenta:		SYSTEM
	Dominio de cuenta:		NT AUTHORITY
	Id. de inicio de sesión:		0x3e7

Privilegios:		SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege"
Auditoría correcta,02/06/2014 9:38:21,Microsoft-Windows-Security-Auditing,4624,Inicio de sesión,"Se inició sesión correctamente en una cuenta.

Sujeto:
	Id. de seguridad:		SYSTEM
	Nombre de cuenta:		MCLAREN2A$
	Dominio de cuenta:		MCLAREN1W
	Id. de inicio de sesión:		0x3e7

Tipo de inicio de sesión:			5

Nuevo inicio de sesión:
	Id. de seguridad:		SYSTEM
	Nombre de cuenta:		SYSTEM
	Dominio de cuenta:		NT AUTHORITY
	Id. de inicio de sesión:		0x3e7
	GUID de inicio de sesión:		{00000000-0000-0000-0000-000000000000}

Información de proceso:
	Id. de proceso:		0x1d4
	Nombre de proceso:		C:\Windows\System32\services.exe

Información de red:
	Nombre de estación de trabajo:	
	Dirección de red de origen:	-
	Puerto de origen:		-

Información de autenticación detallada:
	Proceso de inicio de sesión:		Advapi  
	Paquete de autenticación:	Negotiate
	Servicios transitados:	-
	Nombre de paquete (sólo NTLM):	-
	Longitud de clave:		0

Este evento se genera cuando se crea una sesión de inicio. Lo genera el equipo al que se tuvo acceso.

Los campos de sujeto indican la cuenta del sistema local que solicitó el inicio de sesión. Suele ser un servicio como el servicio de servidor o un proceso local como Winlogon.exe o Services.exe.

El campo Tipo de inicio de sesión indica la clase de inicio de sesión que se realizó. Los tipos más comunes son 2 (interactivo) y 3 (red).

Los campos Nuevo inicio de sesión indican la cuenta para la que se creó el nuevo inicio de sesión, es decir, aquella en la que se inició la sesión.

Los campos de red indican dónde se originó una solicitud de inicio de sesión remota. Nombre de estación de trabajo no está siempre disponible y se puede dejar en blanco en algunos casos.

Los campos de información de autenticación proporcionan información detallada sobre esta solicitud de inicio de sesión específica.
	- GUID de inicio de sesión es un identificador único que se puede usar para correlacionar este evento con un evento KDC.
	- Servicios transitados indica los servicios intermedios que participaron en esta solicitud de inicio de sesión.
	- Nombre de paquete indica el subprotocolo que se usó entre los protocolos NTLM.
	- Longitud de clave indica la longitud de la clave de sesión generada. Será 0 si no se solicitó una clave de sesión."
Auditoría correcta,02/06/2014 9:37:58,Microsoft-Windows-Security-Auditing,4624,Inicio de sesión,"Se inició sesión correctamente en una cuenta.

Sujeto:
	Id. de seguridad:		SYSTEM
	Nombre de cuenta:		MCLAREN2A$
	Dominio de cuenta:		MCLAREN1W
	Id. de inicio de sesión:		0x3e7

Tipo de inicio de sesión:			2

Nuevo inicio de sesión:
	Id. de seguridad:		MCLAREN1W\alu1
	Nombre de cuenta:		alu1
	Dominio de cuenta:		MCLAREN1W
	Id. de inicio de sesión:		0x1b1c6
	GUID de inicio de sesión:		{81613C5C-6DFA-1EDF-E0BD-23C02FA2FC0B}

Información de proceso:
	Id. de proceso:		0x1c0
	Nombre de proceso:		C:\Windows\System32\winlogon.exe

Información de red:
	Nombre de estación de trabajo:	MCLAREN2A
	Dirección de red de origen:	127.0.0.1
	Puerto de origen:		0

Información de autenticación detallada:
	Proceso de inicio de sesión:		User32 
	Paquete de autenticación:	Negotiate
	Servicios transitados:	-
	Nombre de paquete (sólo NTLM):	-
	Longitud de clave:		0

Este evento se genera cuando se crea una sesión de inicio. Lo genera el equipo al que se tuvo acceso.

Los campos de sujeto indican la cuenta del sistema local que solicitó el inicio de sesión. Suele ser un servicio como el servicio de servidor o un proceso local como Winlogon.exe o Services.exe.

El campo Tipo de inicio de sesión indica la clase de inicio de sesión que se realizó. Los tipos más comunes son 2 (interactivo) y 3 (red).

Los campos Nuevo inicio de sesión indican la cuenta para la que se creó el nuevo inicio de sesión, es decir, aquella en la que se inició la sesión.

Los campos de red indican dónde se originó una solicitud de inicio de sesión remota. Nombre de estación de trabajo no está siempre disponible y se puede dejar en blanco en algunos casos.

Los campos de información de autenticación proporcionan información detallada sobre esta solicitud de inicio de sesión específica.
	- GUID de inicio de sesión es un identificador único que se puede usar para correlacionar este evento con un evento KDC.
	- Servicios transitados indica los servicios intermedios que participaron en esta solicitud de inicio de sesión.
	- Nombre de paquete indica el subprotocolo que se usó entre los protocolos NTLM.
	- Longitud de clave indica la longitud de la clave de sesión generada. Será 0 si no se solicitó una clave de sesión."
